globalid,aquaticinv,aquatici_1,taxon,ai_abundan,ai_abundgr,ai_selectm,ai_notes,parentglob,CreationDa,Creator,EditDate,Editor,ai_abund_1,MERGE_SRC
{6A63539E-16F1-44A2-A8AE-46FE60E728E9},,,Hydropsychidae,1,,perennialindicator,,{195DB4CB-28BD-4BB1-A672-F77B608BCCF0},6/13/2019 2:17,,6/13/2019 2:17,,,aquaticinvertebratesdata_3
{4C40E20C-7714-4819-920A-DD3E92432FAD},,,Dytiscidae,1,,,,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
{E6D37E36-BD5B-440C-B03C-C7CF5BB667DA},,,Gerridae,1,,,Observed not netted,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
{17CC5EA4-8756-40BB-BF3F-879BBF3AFCAC},,,Simuliidae,5,,,,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
{2CB66785-6B3E-46DA-8942-90F46B4370DC},,,Chironomidae,1,,,Greater than 10. Red,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
{A2B17F9E-1864-4920-9C93-CB3FAFD82C4B},,,Diptera,1,,,Possibly Athericidae. Sample collected,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
{E5953ABC-B2A2-44BC-A4DD-CA1BE7AF503D},,,Simuliidae,9,yes,,Greater than 10. Pupal cases observed,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{5DC868CA-E917-43B8-AF31-C52880696695},,,Snail,3,,,No id. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{FB431780-C8CB-43AA-9B31-347B5755A6AB},,,Hydropsychidae,9,,perennialindicator,Greater than 10,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{1491AB21-69B8-446C-8D24-E2A9A1FF0EF0},,,Baetidae,9,,mayfly,Greater than 10,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{B59909DD-C3CF-4DCC-BA4A-001E48BA2EBC},,,Xygoptera,4,,,Not calopterygidae. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{2EE09AF5-BD55-4792-8CBC-663D9D797ED1},,,Diptera,4,,,No id. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{E47EDF9D-5FCA-40C6-A662-976329E60757},,,Trichoptera case,2,,deadmaterial,Case. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
