OBJECTID,globalid,aquaticinv,aquatici_1,taxon,ai_abundan,ai_abundgr,ai_selectm,ai_notes,parentglob,CreationDa,Creator,EditDate,Editor,ai_abund_1,MERGE_SRC
1,,,,Hydropsychidae,1,,perennialindicator,,{195DB4CB-28BD-4BB1-A672-F77B608BCCF0},6/13/2019 2:17,,6/13/2019 2:17,,,aquaticinvertebratesdata_3
2,,,,Dytiscidae,1,,,,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
3,,,,Gerridae,1,,,Observed not netted,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
4,,,,Simuliidae,5,,,,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
5,,,,Chironomidae,1,,,Greater than 10. Red,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
6,,,,Diptera,1,,,Possibly Athericidae. Sample collected,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,,aquaticinvertebratesdata_3
7,,,,Simuliidae,9,yes,,Greater than 10. Pupal cases observed,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
8,,,,Snail,3,,,No id. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
9,,,,Hydropsychidae,9,,perennialindicator,Greater than 10,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
10,,,,Baetidae,9,,mayfly,Greater than 10,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
11,,,,Xygoptera,4,,,Not calopterygidae. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
12,,,,Diptera,4,,,No id. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
13,,,,Trichoptera case,2,,deadmaterial,Case. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
14,,,,Naucoridae,2,,,,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
15,,,,Elmidae,2,,perennialindicator,Adult sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
16,,,,Odonata,6,,deadmaterial,Exuvium. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
17,,,,Amphipoda,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
18,,,,Athericidae,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
19,,,,Snail,9,,,"Greater than 10.
Unknown family. Sample taken",{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
20,,,,Baetidae,9,,mayfly,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
21,,,,Chironomidae,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
22,,,,Haliplidae,5,,,,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
23,,,,Acariformes,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
24,,,,Culicidae,1,,,Pupa.,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
25,,,,Planorbidae,1,,,Unsure of id. Sample taken,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
26,,,,Soenagrionidae,6,,,,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
27,,,,Dytiscidae,9,,,Greater than 10.,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
28,,,,Coenagrionidae,1,,,,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
29,,,,Hydrophilidae,6,,,Larvae,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
30,,,,Coleoptera,9,,,Greater than 10. Small unknown family. Sample taken,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
31,,,,Veliidae,9,,,Greater than 10,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
32,,,,Acariformes,9,,,Greater than 10,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
33,,,,Lestidae,2,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
34,,,,Baetidae,9,,mayfly,Greater than 10,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
35,,,,Amphipoda,9,,,Greater than 10,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
36,,,,Snail,4,,,Sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
37,,,,Haliplidae,1,,,Larvae sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
38,,,,Libellulidae,1,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
39,,,,Corixidae,1,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
40,,,,Lepidostomatidae,9,,,Greater than 10. Sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
41,,,,Limnephilidae,9,,,Greater than 10. Sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
42,,,,Leeches,5,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
43,,,,Culicidae,9,,,Greater than 10.,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
44,,,,Dytiscidae,5,,,2 species,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
45,,,,Libellulidae,3,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
46,,,,Dytiscidae,9,,,Greater than 10. 3 species,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
47,,,,Coenagrionidae,9,,,Greater than 10,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
48,,,,Baetidae,9,,,Greater than 10,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
49,,,,Leptohyphidae,9,,,Greater than 10,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
50,,,,Amphipoda,2,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
51,,,,Dixidae,1,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
52,,,,Calopterygidae,1,,perennialindicator,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
53,,,,Corixidae,1,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
54,,,,Tabanidae,1,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
55,,,,Hydrophilidae,9,,,"Greater than 10. Observed, not captured",{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
56,,,,Gerridae,9,,,"Greater than 10. Observed, not captured",{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
57,,,,Libellulidae,3,,,Saw many more. Only sampled 3. Sample taken,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
58,,,,Chironomidae,9,,,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
59,,,,Lestidae,0,,,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
60,,,,Coenagrionidae,4,,,,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
61,,,,Coenagrionidae,3,,,,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
62,,,,Libellulidae,9,,,Greater than 10. Sample taken,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
63,,,,Snail,9,,,Greater than 10. Unknown id. Sample taken,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
64,,,,Tabanidae,1,,,,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
65,,,,Dytiscidae,1,,,Sample taken,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
