globalid,sitecode,sitename,assessor,collection,weathernow,cloudynow,weather48,cloudy48,totalrain,weathernot,disturbed,disturbed_,bankfullwi,bankfull_1,bankfull_2,reachlengt,reachlen_1,reachlen_2,valleyslop,s_landuse,landuse_no,riparian,erosion,floodplain,ancillaryn,hi_reachle,hi_reach_1,pools_obse,hi_seepssp,channelsco,hi_channel,hi_notes,hydricsoil,locations,hydricnote,woodyjams1,trees_shru,woodyjamsn,streambeds,hi_streamb,streambedn,debrisscor,hi_debriss,debrisnote,locationon,locationtw,locationth,soiltextur,location_1,location_2,location_3,sinuosityi,sinscoreno,si_sinuosi,sinuositym,sinuosityc,fpimage,FPScorenot,gi_dimensi,dimensionm,seqscoreno,gi_sequenc,seqnotes,gisubstrat,gi_substra,ginotes,abundscore,abundances,abundanc_1,abundancea,mosquitofi,abundancen,observedfu,observedsn,obsnakesab,observedtu,obturtlesa,observedam,obampiabun,observedvo,observedab,streambedl,streambedd,streambe_1,streambeda,d_note,d_upper,u_upstream,u_left,u_right,u_downstre,d_middle,m_upstream,m_left,m_right,m_downstre,d_lower,l_upstream,l_left,l_right,l_downstre,bryophytem,bryophytel,bryophtyen,Vegediffsc,vegetation,vegenotes,hydrovegen,regionalin,additional,CreationDa,Creator,EditDate,Editor,site_upstr,site_midst,site_middo,site_downs,pnw_mayabu,pnw_maygre,pnw_indica,pnw_indi_1,pnw_indi_2,pnw_indi_3,pnw_indi_4,pnw_int,pnw_eph,pnw_per,pnw_final,pnw_F_eph,pnw_F_int,pnw_F_per,nm_calc,nm_score,nm_status_,nm_status1,nm_statu_1,nm_statu_2,nm_statu_3,MERGE_SRC,latitude,longitude
{9BC65BF0-6AC5-4993-A166-575ABD7C16F9},Site 2 fake,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visual estimate,,,,,visual estimate,,,,,,,,,,,,,,,,,,,,,,,notdetected,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/5/2019 20:27,,6/5/2019 20:27,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,33.69705692,-117.9210819
{DACE030A-036B-4D80-88BF-2B7B1D8763C1},Fake site,Fake sote,RDM AnS,6/5/2019 7:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visual estimate,,,,,visual estimate,,,,,,,,,,,,,,,,,,,,,,,notdetected,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/5/2019 20:27,,6/5/2019 20:27,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,33.70241584,-117.9295216
{195DB4CB-28BD-4BB1-A672-F77B608BCCF0},GarlandTrain,GarlandTrain,Matt Robinson,6/12/2019 7:00,clearsunny,,,0,0,,vegetation,"Bridge at upper transect and trail use and highway and dirt parking lot
",15,15,15,525,150,150,2,"forested,other_natural",Park and trails,yes,yes,yes,,100,,,notdectected,,6,Water,notdectected,1,,0,yes,,,3,,,0,,,,,,,,,,,0.5,visual estimate,Parking lot and road upwards of right bank,,,,visual estimate,,2,"No actual pools, but clear distinction between riffle and glides",,3,,,1,3,2,no,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,10-40%,notdetected,,,,,11,11,11,11,,11,11,11,11,,11,11,11,11,notdetected,notdetected,,,3,,,aridwest,,6/13/2019 2:17,,6/13/2019 2:17,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,36.50947403,-121.7668604
{F2903AA9-727F-4684-9591-26AB158E96DB},Test from field Tablet,,,,,,,0,0,,,,60,60,2,1423.333333,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visual estimate,,,,,visual estimate,,,,,,,,,,,,,,,,,,,,,,,notdetected,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2019 19:52,,6/13/2019 19:52,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,36.6526141,-121.7937352
{154E678D-3747-49B3-9174-729254332606},CD.PIPES.E,Pipes Canyon,Emma Haines and Matt Robinson,6/20/2019 7:00,clearsunny,,,0,0,,,None,2,1.1,1.8,57.16666667,57.16666667,57.16666667,4,other_natural,Walking trails,yes,yes,yes,,100,,,notdectected,,6,,present,1,Layer of clay 15 cm below surface between sandy layers,0,no,Large downed trees from riparian zone,,3,,,0,,,,,,,,,,,1,visual estimate,,,,3,visual estimate,,3,,,1,Small gravel within channel. Sand and a few boulders on banks.,,0,3,0,,,present,notdectected,,notdectected,,notdectected,,notdectected,Oily sheen at upstream. Entire reach substrate covered with redish-brown growth. See additional photo.,notdetected,notdetected,,System dominated by iron oxidizing fungi.,,,17,17,17,17,,17,17,17,17,,16,17,17,17,notdetected,notdetected,,,3,,,aridwest,,6/21/2019 4:21,,6/22/2019 0:09,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,34.16635091,-116.5728559
{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},CD_CATHEDRAL.E,Cathedral,Matt robinson and emma haines,6/21/2019 7:00,clearsunny,,,0,0,,"steammods,diversions","Downstream of golf course, road and under road culvert.
Concrete dam at lower reach confining system",10,15.1,20.9,536.6666667,150,200,0.5,"urban,developed",Golf course and residential,yes,yes,yes,See photo for site sketch,0,0,0,notdectected,,0,,notdectected,3,,0,yes,,,1,,,0,,dry,dry,dry,,loamysand,sand,loamysand,,,1.5,visual estimate,One bank of flood channel was concrete,,,2,visual estimate,,0.5,,,0.5,,,0,0,0,,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,notdetected,notdetected,,,,,,,,,,,1,,,,,,,,notdetected,notdetected,,,2,,,aridwest,"Pipes and garbage in reach
Obvious signs of foot traffic along right bank and homeless camps
Densiometer readings left blank where ""0""
Photos looking upstream and downstream taken from wrong direction.",6/22/2019 0:05,,6/22/2019 0:05,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,33.79713873,-116.4790534
{68744FBF-49B6-4345-AD4B-196B11DB5F03},CD_MIRAGE.E,Whitewater River near Rancho Mirage,Matt robinson and emma haines,6/21/2019 7:00,clearsunny,,,0,0,,"steammods,diversions,discharges","Reach is between two sections of a golf course. Banks are channelized. Left bank concrete, right bank compacted sand. Reach between 2 culverts and below diversion. See photos. Determining exact main channel difficult.",22.4,18.5,18.1,688.3333333,150,200,0,"urban,developed",Reach beside library and parking lot and in between golf courses,no,yes,no,See additional photo for site sketch.,0,0,0,notdectected,,0,,notdectected,3,,0,no,,,3,,,0,,dry,dry,dry,,sandyloam,sandyloam,sandyclay,,,0,visual estimate,Armored banks,,,3,"visual estimate. Flood control channel is four times the width, but is still confined by armored banks.",,0,,,0,,,0,0,0,,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,notdetected,notdetected,,,,,1,1,1,1,,1,1,1,1,,1,1,1,1,notdetected,notdetected,,,1,,,aridwest,"Survey123 will not allow zero values for densiometer readings. All measurements were zero for upper, mid and lower transects.",6/22/2019 0:05,,6/22/2019 0:14,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,33.7485815,-116.4191914
{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},CD_THOUSANDPALMS.P,Thousand Palms Preserve,Matt robinson and emma haines,6/20/2019 7:00,clearsunny,,,0,0,,,None,1,1,2,46.66666667,46.66666667,46.66666667,3,other_natural,Road following stream. Protected area.,yes,yes,yes,Site sketch see photo. ,100,,,notdectected,,6,,present,3,Banks of upstream section predominantly clay with small red patches.,0,no,,,3,,,0,,,,,,,,,,,1,visual estimate,,,,3,visual estimate,,2.5,,,2.25,,,0,3,3,,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,10-40%,notdetected,,Water surface with large patches of green algae. Blue green algae bubbles prevalent,,,,,5,,,,,2,1,,,,,,notdetected,notdetected,,,2.5,Uplands only exhibit desert scrub.,,aridwest,"Densiometer rankings incorrect. Fix later
Flowing stream part of large braided system. Particular site is only reach flowing.
Dried algae along entire reach.
Banks composed of clay at upstream section and sand at mid and downstream.
",6/22/2019 0:43,,6/22/2019 0:43,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,33.83035759,-116.3117908
{C62A141A-7EC7-49D6-AF97-002CE99C6DBA},USGS9419659,Sloan Channel Trib at Las Vegas Blvd,Matt robinson and emma haines,6/22/2019 7:00,clearsunny,,,0,0,,"steammods,diversions,vegetation",Fully concreted channel. Bridge diversion 30 meters upstream,6.5,6.5,6.5,227.5,150,200,1,"urban,developed","Open lots for sale make up the open-space
",no,no,no,See photos for site sketch,0,0,0,notdectected,,0,,notdectected,0,No soil. All concrete,0,no,,,3,,,0,No vegetation,,,,,notneeded,notneeded,notneeded,,,0,visual estimate,Concreted straight channel,,,0,visual estimate,,0,,,0,,,0,0,0,,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,notdetected,notdetected,,,,,,,,,,,,,,,,,,,notdetected,notdetected,,,0,,,aridwest,"No soil in reach. Soil moisture, texture and hydric soil measurements not needed. 
Densiometer readings all ""0"".
Fully concreted channel.",6/22/2019 23:04,,6/22/2019 23:04,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,36.22688345,-115.0731105
{C9500F1D-2A9C-4A67-9BD5-FC33B7B90BF9},AZ_BMPLA.E,Placeritas Creek,Matt robinson and emma haines,6/23/2019 7:00,clearsunny,,,0,0,,,"None.
Tire tracks in channel and dirt path across center",7.8,8.7,10.7,317.3333333,150,200,1,"agricultural,other_natural",Pasture,yes,yes,yes,See photo for site sketch,0,0,0,notdectected,,0,,notdectected,3,,0,yes,,,2,,,0,,dry,dry,dry,,loamysand,loamysand,sandyloam,,,1,visual estimate,,,,3,visual estimate,,1,"Upstream section all sand, no sorting. Very few riffles downstream",,1.5,,,0,0,0,,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,notdetected,<2%,yes,,,,,,,,,,,,,,,,,,notdetected,notdetected,,,0,,,aridwest,"All densiometer readings """"0""""",6/25/2019 2:15,,6/30/2019 2:12,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,34.4215473,-113.2436757
