FinalID,CommonName,CaliforniaTaxon,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicAuthority,FinalIDAuthority,Source
Abedus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Hemiptera,,,Belostomatidae,,,,Abedus,,,,,Stal,SAFIT,DFG-ABL
Abedus breviceps,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Hemiptera,,,Belostomatidae,,,,Abedus,,Abedus breviceps,,,Stal,SAFIT,DFG-ABL
Abedus herberti,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Hemiptera,,,Belostomatidae,,,,Abedus,,Abedus herberti,,,Hidalgo,SAFIT,DFG-ABL
Abedus indentatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Hemiptera,,,Belostomatidae,,,,Abedus,,Abedus indentatus,,,(Haldeman),SAFIT,DFG-ABL
Abedus ovatus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Hemiptera,,,Belostomatidae,,,,Abedus,,Abedus ovatus,,,Stal,SAFIT,DFG-ABL
Abedus parkeri,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Hemiptera,,,Belostomatidae,,,,Abedus,,Abedus parkeri,,,Menke,SAFIT,DFG-ABL
Abedus vicinus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Hemiptera,,,Belostomatidae,,,,Abedus,,Abedus vicinus,,,Mayr,SAFIT,DFG-ABL
Ablabesmyia,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneurini,,Ablabesmyia,,,,,Johannsen,SAFIT,DFG-ABL
Ablabesmyia annulata,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneuriini,,Ablabesmyia,,Ablabesmyia annulata,,,(Say),SAFIT,DFG-ABL
Ablabesmyia aspera,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneuriini,,Ablabesmyia,,Ablabesmyia aspera,,,(Roback),SAFIT,DFG-ABL
Ablabesmyia cinctipes,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneuriini,,Ablabesmyia,,Ablabesmyia cinctipes,,,(Johannsen),SAFIT,DFG-ABL
Ablabesmyia mallochi,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneuriini,,Ablabesmyia,,Ablabesmyia mallochi,,,(Walley),SAFIT,DFG-ABL
Ablabesmyia monilis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneuriini,,Ablabesmyia,,Ablabesmyia monilis,,,(Linnaeus),SAFIT,DFG-ABL
Ablabesmyia peleensis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneuriini,,Ablabesmyia,,Ablabesmyia peleensis,,,(Walley),SAFIT,DFG-ABL
Ablabesmyia pulchripennis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Chironomidae,Tanypodinae,Pentaneuriini,,Ablabesmyia,,Ablabesmyia pulchripennis,,,(Lundbeck),SAFIT,DFG-ABL
Acalyptonotidae,,FALSE,Arthropoda,Chelicerata,,Arachnida,Acari,,Trombidiformes,,,Acalyptonotidae,,,,,,,,,Walter,SAFIT,DFG-ABL
Acalyptonotus,,FALSE,Arthropoda,Chelicerata,,Arachnida,Acari,,Trombidiformes,,,Acalyptonotidae,,,,Acalyptonotus,,,,,"Acalyptonotus Walter, 1911",SAFIT,DFG-ABL
Acalyptonotus pacificus,,FALSE,Arthropoda,Chelicerata,,Arachnida,Acari,,Trombidiformes,,,Acalyptonotidae,,,,Acalyptonotus,,Acalyptonotus pacificus,,,Smith,SAFIT,DFG-ABL
Acanthomysis,,TRUE,Arthropoda,Crustacea,,Malacostraca,,,Mysida,,,Mysidae,,,,Acanthomysis,,,,,Czerniavsky,SAFIT,DFG-ABL
Acanthomysis aspera,,TRUE,Arthropoda,Crustacea,,Malacostraca,,,Mysida,,,Mysidae,,,,Acanthomysis,,Acanthomysis aspera,,,Ii,SAFIT,DFG-ABL
