"term","variable","value"
"fishabund_score2","fishabund_score2",1
"bmiabund_score","fishabund_score2",0.39199797743444
"algabund_score","fishabund_score2",0.341422938019683
"vegdiff_score","fishabund_score2",0.367679666545002
"rootedplants_score","fishabund_score2",0.25190326732009
"iofb_score","fishabund_score2",0.352065236967346
"mayfly_abundance","fishabund_score2",0.39682974709813
"perennial_abundance","fishabund_score2",0.376753058405282
"perennial_taxa","fishabund_score2",0.379691151597894
"perennial_live_abundance","fishabund_score2",0.382285965714781
"snake_score","fishabund_score2",-0.000784866495124967
"turt_score","fishabund_score2",0.138109540995236
"vert_score","fishabund_score2",0.115134319061095
"vert_sumscore","fishabund_score2",0.116590757485058
"hydrophytes_present_noflag","fishabund_score2",0.331436062916477
"alglive_cover_score","fishabund_score2",0.381737286797472
"algdead_cover_score","fishabund_score2",0.0545339074867631
"algdead_noupstream_cover_score","fishabund_score2",0.0636922985968879
"alglivedead_cover_score","fishabund_score2",0.357003718152324
"moss_cover_score","fishabund_score2",0.206868420424787
"liverwort_cover_score","fishabund_score2",0.0156599100996272
"PctShading","fishabund_score2",0.0828171003017438
"TotalAbundance","fishabund_score2",0.42011098243939
"Richness","fishabund_score2",0.404382963225885
"EPT_abundance","fishabund_score2",0.363966542556271
"EPT_taxa","fishabund_score2",0.352831246140457
"EPT_relabd","fishabund_score2",0.338526223608319
"EPT_reltaxa","fishabund_score2",0.312513388453761
"GOLD_relabd","fishabund_score2",0.152635547155956
"GOLD_reltaxa","fishabund_score2",0.18701814328276
"OCH_relabd","fishabund_score2",0.325875523853986
"OCH_reltaxa","fishabund_score2",0.333053455419427
"GOLDOCH_relabd","fishabund_score2",0.247564299142308
"GOLDOCH_reltaxa","fishabund_score2",0.307936551641398
"Noninsect_abundance","fishabund_score2",0.29932992509802
"Noninsect_taxa","fishabund_score2",0.287017512885089
"Noninsect_relabund","fishabund_score2",0.268335775526068
"Noninsect_reltaxa","fishabund_score2",0.27329435842761
"waterinchannel_score","fishabund_score2",0.31939760927633
"hydric_score","fishabund_score2",0.319127685072904
"springs_score","fishabund_score2",-0.0473587168431523
"pctsurfaceflow","fishabund_score2",0.301569223820679
"pctsubsurfaceflow","fishabund_score2",0.348611468185201
"numberwoodyjams","fishabund_score2",0.108401939646284
"SoilMoist_MaxScore","fishabund_score2",0.35186362439395
"sinuosity_score","fishabund_score2",-0.0119509337530771
"floodplaindim_score","fishabund_score2",-0.00801558410797174
"riffpoolseq_score","fishabund_score2",0.132278599968609
"substratesorting_score","fishabund_score2",0.101574807765887
"seddep_score","fishabund_score2",0.122112875687369
"BankWidthMean","fishabund_score2",0.189934524599878
"valleyslope","fishabund_score2",-0.0271756784354073
"ElevCat","fishabund_score2",0.0633491695781176
"ElevWs","fishabund_score2",0.114185286430644
"AgKffactCat","fishabund_score2",-0.0254901056826118
"KffactCat","fishabund_score2",-0.0097897673183388
"AgKffactWs","fishabund_score2",0.0421218037351356
"KffactWs","fishabund_score2",-0.0643392587313329
"Al2O3Cat","fishabund_score2",-0.00675336816219402
"CaOCat","fishabund_score2",0.0416905474339694
"Fe2O3Cat","fishabund_score2",-0.0542220017076864
"K2OCat","fishabund_score2",-0.0374397898168936
"MgOCat","fishabund_score2",0.120666311680575
"Na2OCat","fishabund_score2",0.0281874914192066
"P2O5Cat","fishabund_score2",-0.094083560817286
"SCat","fishabund_score2",-0.0181880901676092
"SiO2Cat","fishabund_score2",-0.00970129617195828
"Al2O3Ws","fishabund_score2",0.0344035343761252
"CaOWs","fishabund_score2",-0.109629063114679
"Fe2O3Ws","fishabund_score2",0.0796713427657636
"K2OWs","fishabund_score2",0.00378335829467872
"MgOWs","fishabund_score2",-0.0752292090481788
"Na2OWs","fishabund_score2",0.0274882325904235
"P2O5Ws","fishabund_score2",-0.0688475521581273
"SWs","fishabund_score2",-0.163994596897747
"SiO2Ws","fishabund_score2",0.0177427727029632
"NCat","fishabund_score2",-0.120379247529812
"NWs","fishabund_score2",0.0103821534526154
"HydrlCondCat","fishabund_score2",-0.108521289917501
"HydrlCondWs","fishabund_score2",-0.00654727082318429
"CompStrgthCat","fishabund_score2",0.160858973097099
"CompStrgthWs","fishabund_score2",0.00390848882193463
"Precip8110Cat","fishabund_score2",0.271098967609557
"Tmax8110Cat","fishabund_score2",-0.107457680435826
"Tmean8110Cat","fishabund_score2",-0.123581116903713
"Tmin8110Cat","fishabund_score2",-0.144676651675209
"Precip8110Ws","fishabund_score2",0.323447691718029
"Tmax8110Ws","fishabund_score2",-0.155971521914868
"Tmean8110Ws","fishabund_score2",-0.17179317299349
"Tmin8110Ws","fishabund_score2",-0.175289467137406
"ClayCat","fishabund_score2",0.00905356167792768
"SandCat","fishabund_score2",0.0110556501140223
"ClayWs","fishabund_score2",0.105635927171365
"SandWs","fishabund_score2",0.00279703531513213
"OmCat","fishabund_score2",0.0843103444766218
"PermCat","fishabund_score2",0.0313324039281284
"RckDepCat","fishabund_score2",0.0768472160909462
"WtDepCat","fishabund_score2",0.0102185624947458
"OmWs","fishabund_score2",0.0187613945075411
"PermWs","fishabund_score2",-0.0676985383233988
"RckDepWs","fishabund_score2",0.147226354055818
"WtDepWs","fishabund_score2",-0.0937938436847983
"PctCarbResidCat","fishabund_score2",0.113172670395956
"PctNonCarbResidCat","fishabund_score2",0.0192926215286561
"PctAlkIntruVolCat","fishabund_score2",-0.0658325463059212
"PctSilicicCat","fishabund_score2",0.102665739027244
"PctEolCrsCat","fishabund_score2",-0.0463712533528065
"PctEolFineCat","fishabund_score2",NA
"PctAlluvCoastCat","fishabund_score2",-0.135446463864688
"PctCarbResidWs","fishabund_score2",-0.00818035413741583
"PctNonCarbResidWs","fishabund_score2",-0.0242435821698305
"PctAlkIntruVolWs","fishabund_score2",-0.0658325463059212
"PctSilicicWs","fishabund_score2",0.017042598887988
"PctExtruVolWs","fishabund_score2",0.109023549046484
"PctEolCrsWs","fishabund_score2",0.175697862778544
"PctEolFineWs","fishabund_score2",0.202031836986508
"PctAlluvCoastWs","fishabund_score2",-0.121231980186762
"WetIndexCat","fishabund_score2",0.00536957174312865
"WetIndexWs","fishabund_score2",0.141710322117319
"urb","fishabund_score2",-0.141884963571562
"urbRip","fishabund_score2",-0.196194376164956
"forr","fishabund_score2",0.167724117180445
"forrRip","fishabund_score2",0.203176597058304
"ag","fishabund_score2",-0.0982994978848365
"agRip","fishabund_score2",-0.0315306293037464
"wetlands","fishabund_score2",0.16557053474929
"wetlandsRip","fishabund_score2",0.160501870770952
"urbWs","fishabund_score2",-0.0746987718175391
"urbRipWs","fishabund_score2",-0.082359309470369
"forrWs","fishabund_score2",0.22314851130631
