"Predictor","PredGroup","DirectWater","MetricType","PctZero","PctDom","Range","PvIvE_F","EvNE_t_abs","PvNP_t_abs","PvIwet_t_abs","EvIdry_t_abs","rf_MDA","rf_MDG","rf_MDA_rank","Screened"
"fishabund_score2","Biological",FALSE,"Ordinal",0.774436090225564,0.774436090225564,3,6.15955964154713,5.64263642890504,2.09872419181661,0.662531658297401,2.03234711174265,-0.000141707516339869,0.0227998821955478,37,"Pass"
"bmiabund_score","Biological",FALSE,"Ordinal",0.330827067669173,0.390977443609023,3,68.2048259089211,12.8612997275016,9.16108139596383,2.76686710748018,2.55910805062653,0.0075548043080168,1.03733574707815,149,"Pass"
"algabund_score","Biological",FALSE,"Ordinal",0.488721804511278,0.488721804511278,3,25.060329985032,8.82429964892054,5.16908665299805,1.38754664270624,1.80668901329279,0.00416349469195237,0.515007555345108,142,"Pass"
"vegdiff_score","Biological",FALSE,"Ordinal",0.142857142857143,0.278195488721804,3,18.279074567526,5.85068898342316,4.80995040339615,1.48592106861088,1.10698290758759,0.00124446969957806,0.388005175324481,120,"Pass"
"rootedplants_score","Biological",FALSE,"Ordinal",0.120300751879699,0.43609022556391,3,14.8589745337075,4.66499611859899,4.22427704673717,0.706631721976197,0.79675232311307,0.000782407370749702,0.228738055039215,113,"Pass"
"iofb_score","Biological",FALSE,"Binary",0.819548872180451,0.819548872180451,1.5,6.38826544622427,5.6,2.28226691678009,0.793628920726174,1.45296631451356,-1.56497268059134e-05,0.0185111166611167,58,"Pass"
"mayfly_abundance","Biological",FALSE,"Continuous",0.496240601503759,0.496240601503759,30,31.7286578944664,10.0376537456255,5.83464689872699,2.63933696470529,1.26361309375973,0.00453135919162788,0.507529169510221,144,"Pass"
"perennial_abundance","Biological",FALSE,"Continuous",0.654135338345865,0.654135338345865,24,16.0645275555264,6.17520030255605,4.36438573281894,2.57209255475804,1,0.00072461904083208,0.192261558149223,110,"Pass"
"perennial_taxa","Biological",FALSE,"Continuous",0.654135338345865,0.654135338345865,5,20.2138195013599,7.35624765576466,4.78671536496196,2.62885874665724,1,0.000431047867990468,0.133152407624307,101,"Pass"
"perennial_live_abundance","Biological",FALSE,"Continuous",0.661654135338346,0.661654135338346,24,15.5710393692666,5.96799928528378,4.32533096470431,2.6041613820246,1,0.000544190173716036,0.216911051706062,106,"Pass"
"snake_score","Biological",FALSE,"Binary",0.969924812030075,0.969924812030075,1,0.748216361605616,2.03133350030803,0.673653668111704,0.52468761354162,1,-4.16666666666667e-05,0.00352777777777778,54,"Fail"
"turt_score","Biological",FALSE,"Binary",0.992481203007519,0.992481203007519,1,0.684210526315798,1,1,1,0,0,0.00354761904761905,63,"Fail"
"vert_score","Biological",FALSE,"Binary",0.849624060150376,0.849624060150376,1,2.83175486893331,2.17574189721842,0.795984355202094,1.57000529380452,0.885517203894109,-0.000241281485323476,0.0901586202813221,27,"Pass"
"vert_sumscore","Biological",FALSE,"Ordinal",0.849624060150376,0.849624060150376,2,3.2916781822504,2.34310075469434,1.06280858034178,1.68805677273422,1.05974399023574,3.26717983857452e-05,0.110118139996807,70,"Pass"
"hydrophytes_present_noflag","Biological",FALSE,"Ordinal",0.360902255639098,0.360902255639098,8,24.3477540497819,8.21200430004182,5.04748861248194,1.70996248918588,3.0167778239701,0.00595259069432865,0.773950045003683,146,"Pass"
"alglive_cover_score","Biological",FALSE,"Ordinal",0.511278195488722,0.511278195488722,4,24.2456673291388,7.8296364089123,5.44360629911183,1.59576112411388,1.53242115840965,0.00369337414375281,0.551157573309796,138,"Pass"
"algdead_cover_score","Biological",FALSE,"Ordinal",0.804511278195489,0.804511278195489,3,1.27630265791981,1.84782290086757,0.0302773037497663,0.00681928525709664,1.37021703631001,0.000251823783845776,0.055864606947772,86,"Fail"
"algdead_noupstream_cover_score","Biological",FALSE,"Ordinal",0.81203007518797,0.81203007518797,3,1.58845375847685,2.12939258967346,0.106963329285774,0.00681928525709664,1.50915650235363,0.000286158028443983,0.0931270463359574,89,"Pass"
"alglivedead_cover_score","Biological",FALSE,"Ordinal",0.466165413533835,0.466165413533835,4,21.7144460120168,7.34638798557399,5.05571330878908,1.59576112411388,1.66489530910123,0.00141057860277704,0.332906220078407,124,"Pass"
"moss_cover_score","Biological",FALSE,"Ordinal",0.796992481203007,0.796992481203007,3,7.26848722449487,4.96191775330795,2.79389561412792,1.80505778015433,1.46316269444739,2.9540063826117e-05,0.0386017625067102,69,"Pass"
"liverwort_cover_score","Biological",FALSE,"Ordinal",0.909774436090226,0.909774436090226,3,2.08527682970185,3.31831824197984,0.186243289107825,0.806203178177252,1,-4.87804878048781e-05,0.00525454545454545,52,"Pass"
"PctShading","Biological",FALSE,"Continuous",0.18796992481203,0.18796992481203,100,10.1538042611987,5.44135703935386,2.65343833729084,0.93497233312149,3.32422091037694,0.00379727013684278,1.18155035511514,139,"Pass"
"TotalAbundance","Biological",FALSE,"Continuous",0.338345864661654,0.338345864661654,99,32.738083962825,10.0886971980965,5.93582366062951,2.71810500142176,2.03049156058352,0.00754381047124217,1.15072300846516,148,"Pass"
